prompt_id,is_control,alpha,hedge_logodds,entropy,top1,direction
lok_0084,False,-3.0,-8.368882179260254,3.2599267959594727, both,familiarity
lok_0084,False,-1.5,-6.034134387969971,2.4642608165740967, a,familiarity
lok_0084,False,0.0,0.5881149768829346,3.25203800201416, not,familiarity
lok_0084,False,1.5,8.244897842407227,3.5044052600860596, I,familiarity
lok_0084,False,3.0,10.46178913116455,6.3316874504089355, I,familiarity
lok_0085,False,-3.0,-9.497894287109375,2.5861034393310547, yes,familiarity
lok_0085,False,-1.5,-7.328343391418457,1.5416024923324585, yes,familiarity
lok_0085,False,0.0,0.5423909425735474,2.305391311645508, I,familiarity
lok_0085,False,1.5,8.350900650024414,1.8417088985443115, I,familiarity
lok_0085,False,3.0,10.467190742492676,4.874574661254883, I,familiarity
lok_0086,False,-3.0,-10.472414016723633,1.6618343591690063, yes,familiarity
lok_0086,False,-1.5,-8.53707218170166,0.6657518148422241, yes,familiarity
lok_0086,False,0.0,-0.25145459175109863,3.4537301063537598, that,familiarity
lok_0086,False,1.5,6.85699462890625,4.971619606018066, I,familiarity
lok_0086,False,3.0,9.42595386505127,6.797275543212891, I,familiarity
lok_0087,False,-3.0,-10.371841430664062,1.9845341444015503, yes,familiarity
lok_0087,False,-1.5,-8.598447799682617,0.967563807964325, yes,familiarity
lok_0087,False,0.0,-0.2893330454826355,2.4912772178649902, that,familiarity
lok_0087,False,1.5,7.760683059692383,1.6276581287384033, I,familiarity
lok_0087,False,3.0,10.146915435791016,4.904721736907959, I,familiarity
lok_0088,False,-3.0,-9.461009979248047,2.71878719329834, both,familiarity
lok_0088,False,-1.5,-7.595968723297119,1.8426191806793213, a,familiarity
lok_0088,False,0.0,0.19409596920013428,3.0355565547943115, that,familiarity
lok_0088,False,1.5,7.750998020172119,5.639705657958984, I,familiarity
lok_0088,False,3.0,9.825582504272461,7.271186828613281, I,familiarity
lok_0089,False,-3.0,-8.730914115905762,2.9298672676086426, a,familiarity
lok_0089,False,-1.5,-6.5419535636901855,1.9548346996307373, a,familiarity
lok_0089,False,0.0,0.9356366395950317,1.902815580368042, I,familiarity
lok_0089,False,1.5,8.277929306030273,3.6403627395629883, I,familiarity
lok_0089,False,3.0,10.230180740356445,6.446335315704346, I,familiarity
lok_0090,False,-3.0,-9.150123596191406,2.5899133682250977, both,familiarity
lok_0090,False,-1.5,-6.924905300140381,1.7510552406311035, a,familiarity
lok_0090,False,0.0,0.44503289461135864,2.370152473449707, that,familiarity
lok_0090,False,1.5,7.865293979644775,5.970951557159424, I,familiarity
lok_0090,False,3.0,9.920927047729492,7.492443561553955, I,familiarity
lok_0091,False,-3.0,-8.670492172241211,2.7469935417175293, both,familiarity
lok_0091,False,-1.5,-6.019576072692871,2.048342227935791, a,familiarity
lok_0091,False,0.0,0.4105979800224304,2.893665313720703, that,familiarity
lok_0091,False,1.5,7.711760520935059,6.117242813110352, I,familiarity
lok_0091,False,3.0,9.786725997924805,7.458451747894287, unavailable,familiarity
lok_0092,False,-3.0,-8.567030906677246,2.9211533069610596, a,familiarity
lok_0092,False,-1.5,-6.27725076675415,1.9282042980194092, a,familiarity
lok_0092,False,0.0,1.0913352966308594,2.9561307430267334, Mexican,familiarity
lok_0092,False,1.5,8.001258850097656,4.517000198364258, I,familiarity
lok_0092,False,3.0,10.221582412719727,6.231451034545898, unavailable,familiarity
lok_0093,False,-3.0,-10.277993202209473,1.939597725868225, yes,familiarity
lok_0093,False,-1.5,-8.104284286499023,1.0706000328063965, yes,familiarity
lok_0093,False,0.0,0.042454540729522705,2.830779552459717, that,familiarity
lok_0093,False,1.5,7.031204700469971,4.091690540313721, I,familiarity
lok_0093,False,3.0,9.584670066833496,6.690257549285889, I,familiarity
lok_0094,False,-3.0,-10.45837688446045,2.210000514984131, yes,familiarity
lok_0094,False,-1.5,-8.849353790283203,0.9483138918876648, yes,familiarity
lok_0094,False,0.0,-1.1399842500686646,2.796034097671509, yes,familiarity
lok_0094,False,1.5,6.909121513366699,4.626169204711914, I,familiarity
lok_0094,False,3.0,9.735309600830078,6.531614303588867, unavailable,familiarity
lok_0095,False,-3.0,-9.810967445373535,2.7433180809020996, a,familiarity
lok_0095,False,-1.5,-7.807916164398193,1.4299139976501465, a,familiarity
lok_0095,False,0.0,0.1260221004486084,3.772660732269287, that,familiarity
lok_0095,False,1.5,7.263913154602051,6.536787033081055, I,familiarity
lok_0095,False,3.0,9.531584739685059,7.585056304931641, I,familiarity
lok_0096,False,-3.0,-9.647639274597168,3.020810127258301, yes,familiarity
lok_0096,False,-1.5,-7.701908111572266,2.4250261783599854, yes,familiarity
lok_0096,False,0.0,-0.183013916015625,2.299631118774414, actually,familiarity
lok_0096,False,1.5,6.2392425537109375,4.841589450836182, Bad,familiarity
lok_0096,False,3.0,9.193032264709473,7.413866996765137, Bad,familiarity
lok_0097,False,-3.0,-10.068408966064453,2.2423081398010254, yes,familiarity
lok_0097,False,-1.5,-8.019416809082031,1.2230764627456665, yes,familiarity
lok_0097,False,0.0,0.3842732906341553,2.622631549835205, that,familiarity
lok_0097,False,1.5,7.74456262588501,2.8070311546325684, I,familiarity
lok_0097,False,3.0,10.038910865783691,6.052656173706055, I,familiarity
lok_0098,False,-3.0,-10.866415023803711,2.183962345123291, yes,familiarity
lok_0098,False,-1.5,-9.758450508117676,0.8028671741485596, yes,familiarity
lok_0098,False,0.0,-1.8678139448165894,1.9935109615325928, yes,familiarity
lok_0098,False,1.5,7.339134693145752,4.7534661293029785, unknown,familiarity
lok_0098,False,3.0,9.986414909362793,6.939981460571289, unknown,familiarity
lok_0099,False,-3.0,-9.479907989501953,2.6024296283721924, both,familiarity
lok_0099,False,-1.5,-7.753061771392822,1.655554175376892, a,familiarity
lok_0099,False,0.0,0.1203927993774414,2.6057143211364746, that,familiarity
lok_0099,False,1.5,7.833067893981934,6.0225419998168945, I,familiarity
lok_0099,False,3.0,9.932130813598633,7.447871685028076, I,familiarity
lok_0100,False,-3.0,-8.688067436218262,2.766486406326294, both,familiarity
lok_0100,False,-1.5,-6.38400936126709,2.3340351581573486, a,familiarity
lok_0100,False,0.0,0.11635696887969971,2.39760160446167, that,familiarity
lok_0100,False,1.5,7.846412181854248,3.7815704345703125, I,familiarity
lok_0100,False,3.0,9.937010765075684,6.6568827629089355, I,familiarity
lok_0101,False,-3.0,-10.834156036376953,1.4416314363479614, yes,familiarity
lok_0101,False,-1.5,-8.9874906539917,0.5115010738372803, yes,familiarity
lok_0101,False,0.0,0.10977429151535034,2.605404853820801, that,familiarity
lok_0101,False,1.5,7.143186569213867,3.8946499824523926, I,familiarity
lok_0101,False,3.0,9.546154975891113,6.619808197021484, I,familiarity
lok_0102,False,-3.0,-10.172486305236816,2.247041702270508, yes,familiarity
lok_0102,False,-1.5,-8.305821418762207,1.1525392532348633, yes,familiarity
lok_0102,False,0.0,0.2471657395362854,2.565670967102051, that,familiarity
lok_0102,False,1.5,7.864691734313965,3.173586845397949, I,familiarity
lok_0102,False,3.0,10.093371391296387,6.168868064880371, I,familiarity
lok_0103,False,-3.0,-10.501056671142578,2.580230712890625, yes,familiarity
lok_0103,False,-1.5,-8.825765609741211,1.5162336826324463, a,familiarity
lok_0103,False,0.0,0.05394291877746582,3.602849006652832, that,familiarity
lok_0103,False,1.5,7.079282760620117,6.775942802429199, I,familiarity
lok_0103,False,3.0,9.550424575805664,7.8109612464904785, I,familiarity
lok_0104,False,-3.0,-9.819219589233398,2.764446973800659, both,familiarity
lok_0104,False,-1.5,-7.762109279632568,1.8892546892166138, a,familiarity
lok_0104,False,0.0,0.06674766540527344,2.269362449645996, that,familiarity
lok_0104,False,1.5,7.587003707885742,4.519705772399902, I,familiarity
lok_0104,False,3.0,9.807373046875,7.140860080718994, I,familiarity
